Standard Drill Sizes - Inches

Drill   Decimal
Size 	Equiv.
---------------
80	    0.0135
79	    0.0145
1/64	0.0156
78	    0.016
77	    0.018
76	    0.02
75	    0.021
74	    0.0225
73	    0.024
72	    0.025
71	    0.026
70	    0.028
69	    0.0292
68	    0.031
1/32	0.0313
67	    0.032
66	    0.033
65	    0.035
64	    0.036
63	    0.037
62	    0.038
61	    0.039
60	    0.04
59	    0.041
58	    0.042
57	    0.043
56	    0.0465
3/64	0.0469
55	    0.052
54	    0.055
53	    0.0595
1/16	0.0625
52	    0.0635
51	    0.067
50	    0.07
49	    0.073
48	    0.076
5/64	0.0781
47	    0.0785
46	    0.081
45	    0.082
44	    0.086
43	    0.089
42	    0.0935
3/32	0.0938
41	    0.096
40	    0.098
39	    0.0995
38	    0.1015
37	    0.104
36	    0.1065
7/64	0.1094
35	    0.11
34	    0.111
33	    0.113
32	    0.116
31	    0.12
1/8	    0.125
30	    0.1285
29	    0.136
28	    0.1405
9/64	0.1406
27	    0.144
26	    0.147
25	    0.1495
24	    0.152
23	    0.154
5/32	0.1563
22	    0.157
21	    0.159
20	    0.161
19	    0.166
18	    0.1695
11/64	0.1719
17	    0.173
16	    0.177
15	    0.18
14	    0.182
13	    0.185
3/16	0.1875
12	    0.189
11	    0.191
10	    0.1935
9	    0.196
8	    0.199
7	    0.201
13/64	0.2031
6	    0.204
5	    0.2055
4	    0.209
3	    0.213
7/32	0.2188
2	    0.221
1	    0.228
A	    0.234
15/64	0.2344
B	    0.238
C	    0.242
D	    0.246
1/4     (E)	0.25
F	    0.257
G	    0.261
17/64	0.2656
H	    0.266
I	    0.272
J	    0.277
K	    0.281
9/32	0.2813
L	    0.29
M	    0.295
19/64	0.2969
N	    0.302
5/16	0.3125
O	    0.316
P	    0.323
21/64	0.3281
Q	    0.332
R	    0.339
11/32	0.3438
S	    0.348
T	    0.358
23/64	0.3594
U	    0.368
3/8	    0.375
V	    0.377
W	    0.386
25/64	0.3906
X	    0.397
Y	    0.404
13/32	0.4063
Z	    0.413
27/64	0.4219
7/16	0.4375
29/64	0.4531
15/32	0.4688
31/64	0.4844
1/2	    0.5
33/64	0.5156
17/32	0.5313
35/64	0.5469
9/16	0.5625
37/64	0.5781
19/32	0.5938
39/64	0.6094
5/8	    0.625
41/64	0.6406
21/32	0.6563
43/64	0.6719
11/16	0.6875
45/64	0.7031
23/32	0.7188
47/64	0.7344
3/4	    0.75
49/64	0.7656
25/32	0.7813
51/64	0.7969
13/16	0.8125
53/64	0.8281
27/32	0.8438
55/64	0.8594
7/8	    0.875
57/64	0.8906
29/32	0.9063
59/64	0.9219
15/16	0.9375
61/64	0.9531
31/32	0.9688
63/64	0.9844
